block;number_of_variants;height_external;width_external;volume;blast_resistance;luminance;conductive;full_cube;spawnable;movable
Activator Rail;1;0;0;0;50.35;0.0;0;0;0;3
Air;3;0;0;0;0.0;0.0;0;0;0;3
Cave Air;3;0;0;0;0.0;0.0;0;0;0;3
Void Air;3;0;0;0;0.0;0.0;0;0;0;3
Amethyst Cluster;4;9;9;729;50.75;5.0;0;0;0;1
Large Amethyst Bud;4;9;9;729;50.75;4.0;0;0;0;1
Medium Amethyst Bud;4;9;9;729;50.75;2.0;0;0;0;1
Small Amethyst Bud;4;9;9;729;50.75;1.0;0;0;0;1
Ancient Debris;1;16;16;4096;1200.0;0.0;2;2;5;3
Andesite;2;16;16;4096;6.0;0.0;2;2;5;3
Polished Andesite;2;16;16;4096;6.0;0.0;2;2;5;3
Anvil;3;10;12;1440;1200.0;0.0;0;0;0;2
Chipped Anvil;3;10;12;1440;1200.0;0.0;0;0;0;2
Damaged Anvil;3;10;12;1440;1200.0;0.0;0;0;0;2
Azalea;2;16;13;2704;0.0;0.0;0;0;5;1
Flowering Azalea;2;16;13;2704;0.0;0.0;0;0;5;1
Bamboo;2;16;0;0;1.0;0.0;0;0;0;1
Bamboo Shoot;2;16;0;0;1.0;0.0;0;0;0;1
Bamboo Mosaic;1;16;16;4096;3.0;0.0;2;2;5;3
Black Banner;32;0;0;0;1.0;0.0;0;0;0;0
Blue Banner;32;0;0;0;1.0;0.0;0;0;0;0
Brown Banner;32;0;0;0;1.0;0.0;0;0;0;0
Cyan Banner;32;0;0;0;1.0;0.0;0;0;0;0
Gray Banner;32;0;0;0;1.0;0.0;0;0;0;0
Green Banner;32;0;0;0;1.0;0.0;0;0;0;0
Light Blue Banner;32;0;0;0;1.0;0.0;0;0;0;0
Light Gray Banner;32;0;0;0;1.0;0.0;0;0;0;0
Lime Banner;32;0;0;0;1.0;0.0;0;0;0;0
Magenta Banner;32;0;0;0;1.0;0.0;0;0;0;0
Orange Banner;32;0;0;0;1.0;0.0;0;0;0;0
Pink Banner;32;0;0;0;1.0;0.0;0;0;0;0
Purple Banner;32;0;0;0;1.0;0.0;0;0;0;0
